sku,name ,crosssell_skus,crosssell_position
10-0101-203001-03-v2,Bryant 三人全牛皮沙發(Charme Russett),"11-0046-203001-03,Addon-CS-1018054,Addon-CS-1018053,13-0025-0-19,20-0008-0-02,20-0070-0-19,20-0097-0-02,22-0050-0-19,22-0055-0-19,22-0048-0-19,1018410,1018512,22-0071-0-18,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
10-0394-0-26-v3,Jasper 防潑水 防貓抓布沙發 大象灰 3人 221cm,"1017786-v2,1018411,Addon-CS-33-0030-0-26,Addon-CS-33-0029-0-26,22-0050-0-19,20-0008-0-02,20-0082-0-24,20-0106-0-24,20-0070-0-19,22-0055-0-19,22-0048-0-19,20-0134-0-19,11-0060-227071-03-v2,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1018417,Lumi 棉花糖布單人椅 雲霧灰,"1018419,1018411,Addon-CS-33-0030-0-26,Addon-CS-33-0029-0-26,22-0050-0-19,20-0008-0-02,20-0082-0-24,20-0106-0-24,20-0070-0-19,22-0055-0-19,22-0048-0-19,20-0134-0-19,11-0060-227071-03-v2,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1017825-v2,Ben 高背防潑水 防貓抓布沙發 象牙白 3人 221cm,"1017818-v2,1017817-v2,Addon-CS-1017816,Addon-CS-33-0031-0-26,1018418,20-0133-0-19,20-0096-0-02,20-0082-0-24,1018310,22-0143-0-19,1018409,22-0141-0-19,20-0102-0-06,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1018020-v2,Cooper 防潑水 防貓抓布沙發 淺駝棕 3人 220cm,"1017804-v2,1017787-v2,Addon-CS-33-0031-0-26,Addon-CS-1017816,1018418,20-0133-0-19,20-0096-0-02,20-0082-0-24,1018310,22-0143-0-19,1018409,22-0141-0-19,20-0102-0-06,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
10-0400-0-26-v3,Jasper 防潑水 防貓抓布沙發 淺駝棕 3人 221cm,"1017787-v2,1017804-v2,Addon-CS-33-0031-0-26,Addon-CS-1017816,1018418,20-0133-0-19,20-0096-0-02,20-0082-0-24,1018310,22-0143-0-19,1018409,22-0141-0-19,20-0102-0-06,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1017812-v2,Bruce 防潑水 防貓抓布沙發 象牙白 3人 221cm,"1017818-v2,1017817-v2,Addon-CS-1017816,Addon-CS-33-0031-0-26,1018418,20-0133-0-19,20-0096-0-02,20-0082-0-24,1018310,22-0143-0-19,1018409,22-0141-0-19,20-0102-0-06,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
22-0050-0-19,【北歐復古】Antony 實木電視櫃 (右抽) 赤栗棕,"20-0070-0-19,1018302,10-0394-0-26-v3,pluffy-fabric-3s-210-elephantgrey,10-0101-203001-03-v2,20-0008-0-02,1018324,22-0051-0-19,22-0052-0-19,1018601,1018511,22-0055-0-19,22-0048-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
22-0138-0-19,Audrey 實木電視櫃,"20-0070-0-19,1018302,10-0394-0-26-v3,pluffy-fabric-3s-210-elephantgrey,10-0101-203001-03-v2,20-0008-0-02,1018324,22-0051-0-19,22-0052-0-19,1018601,1018511,22-0055-0-19,22-0048-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
13-0025-0-19,Carl 小方凳/邊几,"20-0070-0-19,20-0110-0-19,20-0109-0-19,22-0050-0-19,22-0138-0-19,10-0394-0-26-v3,pluffy-fabric-3s-210-elephantgrey,10-0101-203001-03-v2,22-0051-0-19,22-0052-0-19,1018601,22-0055-0-19,22-0048-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
20-0089-0-24,Adele 義大利大理石圓邊几 (金),"20-0133-0-19,20-0041-0-02,20-0014-0-06-v2,22-0143-0-19,22-0008-0-06-v2,10-0400-0-26-v3,1017812-v2,10-0101-203001-03-v2,22-0144-0-19,22-0145-0-19,1018602,22-0140-0-19,22-0141-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
20-0008-0-02,Black & Wood 工業風沙發邊几,"20-0070-0-19,20-0134-0-19,20-0110-0-19,22-0050-0-19,22-0138-0-19,10-0394-0-26-v3,pluffy-fabric-3s-210-elephantgrey,10-0101-203001-03-v2,22-0051-0-19,22-0052-0-19,1018601,22-0055-0-19,22-0048-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1017956,超級收納化妝台/化妝桌 100cm 櫻桃木,"1017957,22-0140-0-19,22-0141-0-19,23-0103-1-19,23-0071-1-25,23-0075-1-25,22-0074-0-06,22-0078-0-02,1018305,20-0089-0-24,30-0049-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
21-0057-0-19,【北歐現代】Antony 捲簾化妝桌 原木色,"1017957,22-0140-0-19,22-0141-0-19,23-0103-1-19,23-0071-1-25,23-0075-1-25,22-0074-0-06,22-0078-0-02,1018305,20-0089-0-24,30-0049-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1018007,超級收納化妝台/化妝桌 100cm 胡桃木,"1017957,13-0017-0-19,21-0052-0-19,22-0055-0-19,22-0048-0-19,22-0086-0-19,1017967,23-0059-1-19,23-0079-1-19,1018402,30-0049-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
